uid,name,bannedOnFlea,haveMarketData,tags/0,shortName,price,basePrice,avg24hPrice,avg7daysPrice,traderName,traderPrice,traderPriceCur,traderPriceRub,updated,slots,diff24h,diff7days,icon,link,wikiLink,img,imgBig,bsgId,isFunctional,reference,tags/1,tags/2
f0fa8457-6638-4ad2-b7e8-4708033d8f39,Secure Flash drive,false,true,Barter,Flash drive,46000,40152,55686,56405,Peacekeeper,176,$,19888,2022-10-11T20:14:38.641Z,1,-17.39,-18.45,https://cdn.tarkov-market.app/images/items/secure_flash_drive_sm.png,https://tarkov-market.com/item/secure_flash_drive,https://escapefromtarkov.gamepedia.com/Secure_Flash_drive,https://cdn.tarkov-market.app/images/items/secure_flash_drive_sm.png,https://cdn.tarkov-market.app/images/items/secure_flash_drive_lg.png,590c621186f774138d11ea29,true,https://www.patreon.com/tarkov_market,,
33c15349-44e6-4553-9705-1b6417a1ad6a,SSD drive,false,true,Barter,SSD,40000,80000,39716,38500,Peacekeeper,350,$,39550,2022-10-11T20:13:54.986Z,1,0.72,3.9,https://cdn.tarkov-market.app/images/items/ssd_drive_sm.png?r=1,https://tarkov-market.com/item/ssd_drive,https://escapefromtarkov.gamepedia.com/SSD_drive,https://cdn.tarkov-market.app/images/items/ssd_drive_sm.png?r=1,https://cdn.tarkov-market.app/images/items/ssd_drive_lg.png?r=1,590c392f86f77444754deb29,true,https://www.patreon.com/tarkov_market,,
160c7064-3b9d-446d-9d1a-e05bc174e73b,Trijicon REAP-IR thermal scope,true,false,Sights,REAP-IR,355794,355794,355794,355794,Mechanic,199245,₽,199245,2021-12-10T09:29:12.416Z,2,0,0,https://cdn.tarkov-market.app/images/items/trijicon_reap-ir_thermal_riflescope_sm.png,https://tarkov-market.com/item/trijicon_reap-ir_thermal_riflescope,https://escapefromtarkov.fandom.com/wiki/Trijicon_REAP-IR_thermal_scope,https://cdn.tarkov-market.app/images/items/trijicon_reap-ir_thermal_riflescope_sm.png,https://cdn.tarkov-market.app/images/items/trijicon_reap-ir_thermal_riflescope_lg.png,5a1eaa87fcdbcb001865f75e,true,https://www.patreon.com/tarkov_market,Special_scopes,
62567390-95a7-4288-8ddd-fde62412bce8,T-7 Thermal Goggles with a Night Vision mount,false,true,Sights,T-7,25000,480000,15372000,15372000,Mechanic,268800,₽,268800,2022-09-30T00:45:00.354Z,2,0,0,https://cdn.tarkov-market.app/images/items/t-7_thermal_goggles_with_night_vision_mounts_sm.png,https://tarkov-market.com/item/t-7_thermal_goggles_with_night_vision_mounts,https://escapefromtarkov.fandom.com/wiki/T-7_Thermal_Goggles_with_a_Night_Vision_mount,https://cdn.tarkov-market.app/images/items/t-7_thermal_goggles_with_night_vision_mounts_sm.png,https://cdn.tarkov-market.app/images/items/t-7_thermal_goggles_with_night_vision_mounts_lg.png,5c110624d174af029e69734c,true,https://www.patreon.com/tarkov_market,Special_scopes,
97d6daa1-5164-4c04-8ffa-d7e6e4cb3508,Purified water canister,false,true,Provisions,Superwater,119000,50000,118989,117725,Therapist,31500,₽,31500,2022-10-11T20:05:53.450Z,4,0.01,1.08,https://cdn.tarkov-market.app/images/items/purified_water_sm.png,https://tarkov-market.com/item/purified_water,https://escapefromtarkov.fandom.com/wiki/Canister_with_purified_water,https://cdn.tarkov-market.app/images/items/purified_water_sm.png,https://cdn.tarkov-market.app/images/items/purified_water_lg.png,5d1b33a686f7742523398398,true,https://www.patreon.com/tarkov_market,Drinks,
88307b34-6e23-49b0-9808-c4080ed4afe4,GPNVG-18 Night Vision goggles,true,false,Sights,GPNVG-18,145004,145004,145004,145004,Mechanic,81202,₽,81202,2021-12-10T09:28:58.412Z,2,0,0,https://cdn.tarkov-market.app/images/items/gpnvg-18_night_vision_sm.png,https://tarkov-market.com/item/gpnvg-18_night_vision,https://escapefromtarkov.fandom.com/wiki/GPNVG-18_Night_Vision_goggles,https://cdn.tarkov-market.app/images/items/gpnvg-18_night_vision_sm.png,https://cdn.tarkov-market.app/images/items/gpnvg-18_night_vision_lg.png,5c0558060db834001b735271,true,https://www.patreon.com/tarkov_market,Special_scopes,
4a80b831-9b65-4f2d-98c3-5b761974110f,T H I C C Weapon case,true,false,Containers,T H I C C,8800000,1350000,8475000,7964422,Therapist,850500,₽,850500,2022-08-11T13:37:17.175Z,10,3.83,10.49,https://cdn.tarkov-market.app/images/items/t_h_i_c_c_weapon_case_sm.png,https://tarkov-market.com/item/t_h_i_c_c_weapon_case,https://escapefromtarkov.gamepedia.com/T_H_I_C_C_Weapon_case,https://cdn.tarkov-market.app/images/items/t_h_i_c_c_weapon_case_sm.png,https://cdn.tarkov-market.app/images/items/t_h_i_c_c_weapon_case_lg.png,5b6d9ce188a4501afc1b2b25,true,https://www.patreon.com/tarkov_market,,
69353123-f9ec-4755-9c86-f197af469063,Lucky Scav Junk box,true,false,Containers,Junk,1108776,1215269,1107638,1114655,Therapist,765619,₽,765619,2022-08-11T15:35:21.792Z,16,0.1,-0.53,https://cdn.tarkov-market.app/images/items/lucky_scav_junkbox_sm.png,https://tarkov-market.com/item/lucky_scav_junkbox,https://escapefromtarkov.fandom.com/wiki/Lucky_Scav_Junk_box,https://cdn.tarkov-market.app/images/items/lucky_scav_junkbox_sm.png,https://cdn.tarkov-market.app/images/items/lucky_scav_junkbox_lg.png,5b7c710788a4506dec015957,true,https://www.patreon.com/tarkov_market,,
2102fe59-ad10-468b-9df2-2df7b140fe0c,TerraGroup Labs keycard (Blue),false,true,Keys,Blue,180000,300000,180000,94850,Therapist,189000,₽,189000,2022-10-11T06:18:27.564Z,1,0,89.77,https://cdn.tarkov-market.app/images/items/lab._blue_keycard_sm.png,https://tarkov-market.com/item/lab._blue_keycard,https://escapefromtarkov.fandom.com/wiki/TerraGroup_Labs_keycard_(Blue),https://cdn.tarkov-market.app/images/items/lab._blue_keycard_sm.png,https://cdn.tarkov-market.app/images/items/lab._blue_keycard_lg.png,5c1d0c5f86f7744bb2683cf0,true,https://www.patreon.com/tarkov_market,The_Lab,
fc401d47-8836-4a5d-a794-76f672442d66,TerraGroup Labs access keycard,true,false,Keys,Access,100000,100000,100000,100000,Therapist,63000,₽,63000,2021-12-22T08:20:16.545Z,1,0,0,https://cdn.tarkov-market.app/images/items/terragroup_labs_access_keycard_sm.png,https://tarkov-market.com/item/terragroup_labs_access_keycard,https://escapefromtarkov.gamepedia.com/TerraGroup_Labs_access_keycard,https://cdn.tarkov-market.app/images/items/terragroup_labs_access_keycard_sm.png,https://cdn.tarkov-market.app/images/items/terragroup_labs_access_keycard_lg.png,5c94bbff86f7747ee735c08f,true,https://www.patreon.com/tarkov_market,The_Lab,
